Stewart Calculus Early Transcendentals 7e Video Examples (ET),,,,,,,
Chap/Section/SCalcET7 Video Example,Section,Example #,LIVE URL,English CC File name,Spanish CC File Name,Replacement?,comments
Chapter 1: Functions and Models,,,,,,,
1.1 Four Ways to Represent a Function,,,,,,,
01.01.05,1.1,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_01_05.html,6et_01_01_05_en.htm,6et_01_01_05_es.htm,N,
01.01.07,1.1,Example 7,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_01_07.html,et_01_01_07_en.htm,et_01_01_07_es.htm,6et_01_01_07,
01.01.11a-c,1.1,Example 11,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_01_11.html,et_01_01_11_en.htm,et_01_01_11_es.htm,6et_01_01_11,
1.2 Mathematical Models: A Catalog of Essential Functions,,,,,,,
01.02.01a-c,1.2,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_02_01.html,et_01_02_01_en.htm,et_01_02_01_es.htm,6et_01_02_01,
01.02.02,1.2,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_02_02.html,et_01_02_02_en.htm,et_01_02_02_es.htm,6et_01_02_02,
01.02.03,1.2,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_02_03.html,et_01_02_03_en.htm,et_01_02_03_es.htm,,
1.3 New Functions from Old Functions,,,,,,,
01.03.01,1.3,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_03_01.html,et_01_03_01_en.htm,et_01_03_01_es.htm,6et_01_03_01,
01.03.05,1.3,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_03_05.html,et_01_03_05_en.htm,et_01_03_05_es.htm,6et_01_03_05,
01.03.07a-d,1.3,Example 7,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_03_07.html,et_01_03_08_en.htm,et_01_03_08_es.htm,6et_01_03_07,
1.4 Graphing Calculators and Computers,,,,,,,
01.04.04,1.4,Example 4,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_04_04.html,et_01_04_04_en.htm,et_01_04_04_es.htm,6et_01_04_04,
01.04.05,1.4,Example 5,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_04_05.html,et_01_04_05_en.htm,et_01_04_05_es.htm,6et_01_04_05,
01.04.08,1.4,Example 8,http://www.wadsworthmedia.com/math/stewart/solution_videos/7et_01_04_08.html,et_01_04_08_en.htm,et_01_04_08_es.htm,no, 7et_01_04_08
1.5 Exponential Functions,,,,,,,
01.05.02,1.5,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_05_02.html,??? ,???,,
01.05.03,1.5,Example 3,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_05_03.html,???,???,,
1.6 Inverse Functions and Logarithms,,,,,,,
01.06.01,1.6,Example 1,http://www.wadsworthmedia.com/math/stewart/solution_videos/6et_01_06_01.html,et_01_06_01_02_en.htm,et_01_06_01_02_es.htm,empty,
01.06.02,1.6,Example 2,http://www.wadsworthmedia.com/math/stewart/solution_videos/7et_01_06_02.html,et_01_06_01_02_en.htm,et_01_06_01_02_es.htm,empty,
